depth,dim,heads,dropout,accuracy,f1_score
3.0,64.0,4.0,0.2,0.8333333333333334,0.8292682926829268
5.0,64.0,4.0,0.3,0.8095238095238095,0.8095238095238095
3.0,32.0,4.0,0.2,0.8095238095238095,0.8
5.0,32.0,4.0,0.1,0.7857142857142857,0.7906976744186046
3.0,32.0,2.0,0.1,0.7857142857142857,0.7804878048780488
3.0,64.0,2.0,0.2,0.7857142857142857,0.7804878048780488
5.0,64.0,4.0,0.2,0.7857142857142857,0.7804878048780488
3.0,64.0,2.0,0.1,0.7857142857142857,0.7804878048780488
5.0,32.0,2.0,0.1,0.8095238095238095,0.7777777777777778
5.0,64.0,2.0,0.2,0.7857142857142857,0.7692307692307693
5.0,32.0,4.0,0.2,0.7857142857142857,0.7692307692307693
3.0,64.0,4.0,0.1,0.7857142857142857,0.7692307692307693
5.0,32.0,4.0,0.3,0.7857142857142857,0.7692307692307693
5.0,64.0,2.0,0.1,0.7857142857142857,0.7692307692307693
3.0,32.0,2.0,0.2,0.7619047619047619,0.75
5.0,64.0,4.0,0.1,0.7619047619047619,0.75
3.0,32.0,4.0,0.1,0.7619047619047619,0.75
5.0,64.0,2.0,0.3,0.7619047619047619,0.75
3.0,32.0,4.0,0.3,0.7619047619047619,0.7368421052631579
5.0,32.0,2.0,0.2,0.7380952380952381,0.717948717948718
3.0,64.0,2.0,0.3,0.7380952380952381,0.717948717948718
3.0,64.0,4.0,0.3,0.7380952380952381,0.7027027027027027
5.0,32.0,2.0,0.3,0.7142857142857143,0.7
3.0,32.0,2.0,0.3,0.6904761904761905,0.6666666666666666
