learning_rate,epochs,context_size,accuracy,f1_score
0.001,10.0,3.0,0.7916666666666666,0.8571428571428571
0.001,50.0,5.0,0.7916666666666666,0.8484848484848485
0.1,30.0,3.0,0.75,0.8421052631578947
0.001,30.0,3.0,0.75,0.8421052631578947
0.05,50.0,5.0,0.75,0.8333333333333334
0.05,30.0,5.0,0.75,0.8333333333333334
0.05,50.0,3.0,0.75,0.8333333333333334
0.001,10.0,5.0,0.7083333333333334,0.8205128205128205
0.1,50.0,3.0,0.7083333333333334,0.8108108108108109
0.001,30.0,5.0,0.7083333333333334,0.8
0.05,10.0,5.0,0.6666666666666666,0.8
0.05,10.0,3.0,0.6666666666666666,0.8
0.1,50.0,5.0,0.7083333333333334,0.8
0.1,10.0,3.0,0.6666666666666666,0.7894736842105263
0.05,30.0,3.0,0.6666666666666666,0.7894736842105263
0.001,50.0,3.0,0.6666666666666666,0.7647058823529411
0.1,30.0,5.0,0.625,0.7567567567567568
0.1,10.0,5.0,0.625,0.7272727272727273
